dma_boundary UniqueID,Latitude,Longitude,point_order,sub_polygon_id,Media Market
199,27.8972,-97.1361,4,5,"Corpus Christi, TX"
199,27.8935,-97.1379,5,5,"Corpus Christi, TX"
199,27.8389,-97.0453,1,4,"Corpus Christi, TX"
199,27.852,-97.0545,2,4,"Corpus Christi, TX"
199,27.9681,-96.9732,3,4,"Corpus Christi, TX"
199,27.9855,-96.9844,4,4,"Corpus Christi, TX"
199,28.0204,-96.9671,5,4,"Corpus Christi, TX"
199,28.0605,-96.8604,6,4,"Corpus Christi, TX"
199,27.8389,-97.0453,7,4,"Corpus Christi, TX"
199,28.1253,-96.9835,1,3,"Corpus Christi, TX"
199,28.1279,-96.9955,2,3,"Corpus Christi, TX"
199,28.1313,-97.0001,3,3,"Corpus Christi, TX"
199,28.1258,-96.9785,4,3,"Corpus Christi, TX"
199,28.1253,-96.9835,5,3,"Corpus Christi, TX"
199,28.165,-96.82,1,2,"Corpus Christi, TX"
199,28.1674,-96.8232,2,2,"Corpus Christi, TX"
199,28.1677,-96.8195,3,2,"Corpus Christi, TX"
199,28.165,-96.82,4,2,"Corpus Christi, TX"
199,26.7857,-98.9542,1,1,"Corpus Christi, TX"
199,27.2694,-98.9546,2,1,"Corpus Christi, TX"
199,27.268,-98.7981,3,1,"Corpus Christi, TX"
199,28.0575,-98.8033,4,1,"Corpus Christi, TX"
199,28.0578,-98.3343,5,1,"Corpus Christi, TX"
199,28.6127,-98.335,6,1,"Corpus Christi, TX"
199,28.7869,-98.0983,7,1,"Corpus Christi, TX"
199,28.6902,-98.0053,8,1,"Corpus Christi, TX"
199,28.6684,-97.7721,9,1,"Corpus Christi, TX"
199,28.5416,-97.6962,10,1,"Corpus Christi, TX"
199,28.4027,-97.4455,11,1,"Corpus Christi, TX"
199,28.3876,-97.375,12,1,"Corpus Christi, TX"
199,28.5534,-97.1607,13,1,"Corpus Christi, TX"
199,28.4251,-96.7644,14,1,"Corpus Christi, TX"
199,28.4156,-96.8596,15,1,"Corpus Christi, TX"
199,28.3192,-96.7902,16,1,"Corpus Christi, TX"
199,28.1353,-96.9109,17,1,"Corpus Christi, TX"
199,28.1522,-96.9058,18,1,"Corpus Christi, TX"
199,28.1234,-96.9313,19,1,"Corpus Christi, TX"
199,28.1223,-96.9605,20,1,"Corpus Christi, TX"
199,28.1258,-96.9646,21,1,"Corpus Christi, TX"
199,28.2696,-96.9148,22,1,"Corpus Christi, TX"
199,28.1327,-96.9751,23,1,"Corpus Christi, TX"
199,28.1503,-97.0275,24,1,"Corpus Christi, TX"
199,28.1938,-97.0067,25,1,"Corpus Christi, TX"
199,28.2065,-97.0238,26,1,"Corpus Christi, TX"
199,28.0787,-97.2618,27,1,"Corpus Christi, TX"
199,28.0483,-97.1586,28,1,"Corpus Christi, TX"
199,27.9709,-97.1846,29,1,"Corpus Christi, TX"
199,28.0603,-97.128,30,1,"Corpus Christi, TX"
199,28.1048,-97.02,31,1,"Corpus Christi, TX"
199,27.8243,-97.1881,32,1,"Corpus Christi, TX"
199,27.882,-97.2735,33,1,"Corpus Christi, TX"
199,27.8718,-97.5556,34,1,"Corpus Christi, TX"
199,27.8361,-97.3787,35,1,"Corpus Christi, TX"
199,27.7378,-97.3646,36,1,"Corpus Christi, TX"
199,27.6911,-97.2437,37,1,"Corpus Christi, TX"
199,27.6268,-97.2982,38,1,"Corpus Christi, TX"
199,27.3233,-97.4107,39,1,"Corpus Christi, TX"
199,27.2744,-97.5086,40,1,"Corpus Christi, TX"
199,27.2811,-97.54,41,1,"Corpus Christi, TX"
199,27.2856,-97.5455,42,1,"Corpus Christi, TX"
199,27.3488,-97.4773,43,1,"Corpus Christi, TX"
199,27.457,-97.4674,44,1,"Corpus Christi, TX"
199,27.4691,-97.4947,45,1,"Corpus Christi, TX"
