year,icpsr_state_code,alphanumeric_state_code,state,votes,eligible_voters
1998,5,40,Rhode Island,309835,723772
1998,48,41,South Carolina,1092430,2825173
1998,37,42,South Dakota,266355,534711
1998,54,43,Tennessee,1026017,4092745
1998,49,44,Texas,NA,12490423
1998,67,45,Utah,506553,1381989
1998,6,46,Vermont,224382,444772
1998,40,47,Virginia,NA,4900523
1998,73,48,Washington,1939421,3930400
1998,56,49,West Virginia,405139,1388176
1998,25,50,Wisconsin,NA,3801514
1998,68,51,Wyoming,178401,350136
1996,0,0,United States,NA,186347044
1996,41,1,Alabama,NA,3144249
1996,81,2,Alaska,245212,404180
1996,61,3,Arizona,1431342,3079908
1996,42,4,Arkansas,NA,1844689
1996,71,5,California,10263490,18644593
1996,62,6,Colorado,NA,2770252
1996,1,7,Connecticut,1410746,2337160
1996,11,8,Delaware,277418,528630
1996,55,9,District of Columbia,189210,398839
1996,43,10,Florida,5444245,10219294
1996,44,11,Georgia,2374650,5181708
1996,82,12,Hawaii,370230,820055
1996,63,13,Idaho,508030,825329
1996,21,14,Illinois,4418270,8215662
1996,22,15,Indiana,2195224,4302745
1996,31,16,Iowa,1251983,2098332
1996,32,17,Kansas,1073520,1856507
1996,51,18,Kentucky,1419592,2880808
1996,45,19,Louisiana,1804640,3087693
1996,2,20,Maine,NA,929970
1996,52,21,Maryland,1793991,3530148
1996,3,22,Massachusetts,2600278,4385268
1996,23,23,Michigan,3912261,6954059
1996,33,24,Minnesota,2211161,3319509
1996,46,25,Mississippi,NA,1949309
1996,34,26,Missouri,NA,3919885
1996,64,27,Montana,417232,645052
1996,35,28,Nebraska,686749,1188034
1996,65,29,Nevada,467657,1134065
1996,4,30,New Hampshire,513700,855287
1996,12,31,New Jersey,3105110,5456334
1996,66,32,New Mexico,579763,1172262
1996,13,33,New York,6439129,12175850
1996,47,34,North Carolina,NA,5435970
1996,36,35,North Dakota,271850,475898
1996,24,36,Ohio,4638108,8185999
1996,53,37,Oklahoma,1218248,2368311
1996,72,38,Oregon,1399180,2309051
1996,14,39,Pennsylvania,NA,9063470
1996,5,40,Rhode Island,NA,717041
1996,48,41,South Carolina,1203486,2731064
1996,37,42,South Dakota,329316,529793
1996,54,43,Tennessee,NA,3984092
1996,49,44,Texas,NA,12072149
1996,67,45,Utah,691016,1326919
1996,6,46,Vermont,261469,435687
1996,40,47,Virginia,2468229,4811632
1996,73,48,Washington,2293895,3829308
1996,56,49,West Virginia,653331,1386621
1996,25,50,Wisconsin,NA,3763240
1996,68,51,Wyoming,215844,345112
1994,0,0,United States,NA,182623348
1994,41,1,Alabama,NA,3095745
1994,81,2,Alaska,216668,399435
1994,61,3,Arizona,1153724,2892171
1994,42,4,Arkansas,NA,1801161
1994,71,5,California,8900593,18479124
1994,62,6,Colorado,1173130,2648684
1994,1,7,Connecticut,1163829,2335579
1994,11,8,Delaware,201560,512941
1994,55,9,District of Columbia,186316,411886
1994,43,10,Florida,4305340,9810247
1994,44,11,Georgia,NA,4978431
1994,82,12,Hawaii,377011,808904
1994,63,13,Idaho,419330,784076
1994,21,14,Illinois,3219122,8175312
1994,22,15,Indiana,1609481,4235008
1994,31,16,Iowa,1022372,2077709
1994,32,17,Kansas,836251,1837694
1994,51,18,Kentucky,827541,2829881
1994,45,19,Louisiana,893758,3038660
1994,2,20,Maine,NA,918204
1994,52,21,Maryland,1437450,3480270
1994,3,22,Massachusetts,2232186,4353287
1994,23,23,Michigan,3177740,6856388
1994,33,24,Minnesota,1794618,3253779
1994,46,25,Mississippi,621096,1903794
1994,34,26,Missouri,NA,3858946
1994,64,27,Montana,359455,622246
1994,35,28,Nebraska,593654,1164502
1994,65,29,Nevada,386582,1032456
1994,4,30,New Hampshire,319443,829590
1994,12,31,New Jersey,2131328,5392423
1994,66,32,New Mexico,485709,1128243
1994,13,33,New York,5325323,12192316
1994,47,34,North Carolina,NA,5244552
1994,36,35,North Dakota,240430,468989
1994,24,36,Ohio,3540954,8132122
1994,53,37,Oklahoma,1002363,2327519
1994,72,38,Oregon,1254265,2229242
1994,14,39,Pennsylvania,NA,9043585
1994,5,40,Rhode Island,NA,716002
1994,48,41,South Carolina,951901,2663830
1994,37,42,South Dakota,318090,518815
1994,54,43,Tennessee,NA,3850228
1994,49,44,Texas,NA,11719888
1994,67,45,Utah,532737,1248726
1994,6,46,Vermont,216715,426953
1994,40,47,Virginia,NA,4718968
1994,73,48,Washington,1733471,3715174
1994,56,49,West Virginia,439551,1379339
1994,25,50,Wisconsin,NA,3692668
1994,68,51,Wyoming,204025,337032
1992,0,0,United States,NA,179655523
1992,41,1,Alabama,NA,3030549
1992,81,2,Alaska,261427,389898
1992,61,3,Arizona,1516276,2671933
1992,42,4,Arkansas,NA,1751083
1992,71,5,California,11374565,18460157
1992,62,6,Colorado,1597166,2494998
1992,1,7,Connecticut,1645609,2356937
1992,11,8,Delaware,290836,499266
1992,55,9,District of Columbia,231445,427102
1992,43,10,Florida,5438612,9506230
1992,44,11,Georgia,NA,4766958
1992,82,12,Hawaii,382882,795148
1992,63,13,Idaho,491725,734855
1992,21,14,Illinois,5164357,8113900
1992,22,15,Indiana,2347912,4162678
1992,31,16,Iowa,1360856,2057690
1992,32,17,Kansas,1161044,1810750
1992,51,18,Kentucky,NA,2772600
1992,45,19,Louisiana,1799596,2997301
1992,2,20,Maine,NA,915082
1992,52,21,Maryland,1999486,3440015
1992,3,22,Massachusetts,2822962,4346897
1992,23,23,Michigan,4341909,6786593
1992,33,24,Minnesota,2355796,3187255
1992,46,25,Mississippi,1008019,1854797
1992,34,26,Missouri,NA,3792675
1992,64,27,Montana,417564,593345
1992,35,28,Nebraska,744548,1149525
1992,65,29,Nevada,513387,940066
1992,4,30,New Hampshire,545197,814160
1992,12,31,New Jersey,3348312,5398559
1992,66,32,New Mexico,590901,1073421
1992,13,33,New York,7068630,12227775
1992,47,34,North Carolina,NA,5077494
1992,36,35,North Dakota,315199,462631
1992,24,36,Ohio,5043094,8063595
1992,53,37,Oklahoma,1455635,2293931
1992,72,38,Oregon,1498959,2144867
1992,14,39,Pennsylvania,NA,9010940
1992,5,40,Rhode Island,NA,721593
1992,48,41,South Carolina,1234712,2610725
1992,37,42,South Dakota,NA,503759
1992,54,43,Tennessee,NA,3726024
1992,49,44,Texas,NA,11356487
1992,67,45,Utah,784988,1162363
1992,6,46,Vermont,292797,419810
1992,40,47,Virginia,NA,4622125
1992,73,48,Washington,2324907,3575852
1992,56,49,West Virginia,NA,1365368
1992,25,50,Wisconsin,NA,3619273
1992,68,51,Wyoming,203602,324253
1990,0,0,United States,NA,176629259
1990,41,1,Alabama,NA,2956385
1990,81,2,Alaska,197540,364419
1990,61,3,Arizona,1094735,2523614
1990,42,4,Arkansas,NA,1710799
1990,71,5,California,7899131,18156500
1990,62,6,Colorado,1046139,2366650
1990,1,7,Connecticut,1159361,2383795
1990,11,8,Delaware,183977,486760
1990,55,9,District of Columbia,171677,441742
1990,43,10,Florida,NA,9145312
1990,44,11,Georgia,NA,4588953
1990,82,12,Hawaii,354144,770836
1990,63,13,Idaho,328340,690154
1990,21,14,Illinois,3420720,8029525
1990,22,15,Indiana,1566371,4080236
1990,31,16,Iowa,1004908,2030935
1990,32,17,Kansas,805251,1783412
1990,51,18,Kentucky,NA,2722356
1990,45,19,Louisiana,NA,2959148
1990,2,20,Maine,NA,910982
1990,52,21,Maryland,1170867,3397126
1990,3,22,Massachusetts,2424579,4384671
1990,23,23,Michigan,2641649,6693069
1990,33,24,Minnesota,1843104,3136830
1990,46,25,Mississippi,NA,1824156
1990,34,26,Missouri,NA,3740308
1990,64,27,Montana,326652,573045
1990,35,28,Nebraska,604195,1131746
1990,65,29,Nevada,325959,858018
1990,4,30,New Hampshire,307700,814549
1990,12,31,New Jersey,1998894,5429251
1990,66,32,New Mexico,429509,1026902
1990,13,33,New York,4290261,12271903
1990,47,34,North Carolina,NA,4938968
1990,36,35,North Dakota,240301,461711
1990,24,36,Ohio,3620469,7975680
1990,53,37,Oklahoma,929639,2251719
1990,72,38,Oregon,1133125,2057833
1990,14,39,Pennsylvania,NA,8962083
1990,5,40,Rhode Island,375188,725084
1990,48,41,South Carolina,793614,2537384
1990,37,42,South Dakota,NA,494849
1990,54,43,Tennessee,NA,3624940
1990,49,44,Texas,NA,11034190
1990,67,45,Utah,457983,1086050
1990,6,46,Vermont,217384,415564
1990,40,47,Virginia,NA,4512504
1990,73,48,Washington,1362651,3421256
1990,56,49,West Virginia,NA,1347723
1990,25,50,Wisconsin,NA,3541548
1990,68,51,Wyoming,164309,312961
1988,0,0,United States,NA,173579281
1988,41,1,Alabama,NA,2901744
1988,81,2,Alaska,203433,355023
1988,61,3,Arizona,1204169,2454254
1988,42,4,Arkansas,NA,1689491
1988,71,5,California,10194539,17738700
1988,62,6,Colorado,1416265,2327768
1988,1,7,Connecticut,1461962,2379699
1988,11,8,Delaware,254973,472441
1988,55,9,District of Columbia,197135,453636
1988,43,10,Florida,NA,8777510
1988,44,11,Georgia,NA,4459739
1988,82,12,Hawaii,368567,739890
1988,63,13,Idaho,421213,667345
1988,21,14,Illinois,4697192,7950848
1988,22,15,Indiana,2222811,3996319
1988,31,16,Iowa,1240854,2021793
1988,32,17,Kansas,NA,1774451
1988,51,18,Kentucky,NA,2680364
1988,45,19,Louisiana,NA,2941023
1988,2,20,Maine,NA,888612
1988,52,21,Maryland,1747350,3325582
1988,3,22,Massachusetts,2689857,4385728
1988,23,23,Michigan,3745751,6608812
1988,33,24,Minnesota,2125119,3087194
1988,46,25,Mississippi,NA,1792847
1988,34,26,Missouri,NA,3696905
